id,text,label
1,회의 자료 업데이트 공유,ham
2,회의록 배포: 주간회의,ham
3,출장 계획서 검토 요청 (광주),ham
4,[리마인드] 교육 세션 참석 안내,ham
5,오늘만 특가 50%! 게이밍 키보드 마지막 찬스,spam
6,오전 이슈 대응 상황 공유,ham
7,세금 환급 대상자 확인: 정보 입력 필요,spam
8,[공지] 근로계약서 서명 안내,ham
9,견적서 전달드립니다 (게이밍 키보드),ham
10,[중요] 개인정보 처리방침 업데이트 안내,ham
11,"[긴급] 하나은행 계좌 인증 실패, 서비스 제한 예정",spam
12,휴가 일정 공유 및 인수인계,ham
13,출장 계획서 검토 요청 (용인),ham
14,재택근무 신청 관련 공지,ham
15,오전 이슈 대응 상황 공유,ham
16,루미너스랩 서버 점검 안내 (이번 주 금요일),ham
17,[고객지원팀] 회의 일정 조율 (다음 주 월요일),ham
18,오늘만 특가 80%! 휴대용 보조배터리 마지막 찬스,spam
19,[전략기획] 회의 일정 조율 (모레),ham
20,[중요] 개인정보 처리방침 업데이트 안내,ham
21,[공지] 근로계약서 서명 안내,ham
22,출장 계획서 검토 요청 (부산),ham
23,회의 자료 업데이트 공유,ham
24,업무 공유: 주간 업무 계획서,ham
25,재택근무 신청 관련 공지,ham
26,[중요] 개인정보 처리방침 업데이트 안내,ham
27,[리마인드] 교육 세션 참석 안내,ham
28,에이프릴데이터 서버 점검 안내 (오늘),ham
29,[마케팅팀] 회의 일정 조율 (이번 주 금요일),ham
30,회의록 배포: 주간회의,ham
31,업무 공유: 주간 업무 계획서,ham
32,회의록 배포: 스프린트 킥오프,ham
33,휴가 일정 공유 및 인수인계,ham
34,재택근무 신청 관련 공지,ham
35,[재무관리팀] 회의 일정 조율 (오늘),ham
36,[중요] 개인정보 처리방침 업데이트 안내,ham
37,플래닛테크 서버 점검 안내 (모레),ham
38,결재 요청: INV-23256,ham
39,"[긴급] 하나은행 계좌 인증 실패, 서비스 제한 예정",spam
40,회의 자료 업데이트 공유,ham
41,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
42,휴면 계정 전환 예정: 로그인 확인 요청,spam
43,[리마인드] 교육 세션 참석 안내,ham
44,축하합니다! 경품 당첨 안내 (무선 이어폰),spam
45,휴가 일정 공유 및 인수인계,ham
46,재택근무 신청 관련 공지,ham
47,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
48,인증코드 [768480] 입력 후 혜택 즉시 수령,spam
49,출장 계획서 검토 요청 (청주),ham
50,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
51,오전 이슈 대응 상황 공유,ham
52,[리마인드] 교육 세션 참석 안내,ham
53,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
54,결제 오류 발생: OD772124 내역 확인 바랍니다,spam
55,휴가 일정 공유 및 인수인계,ham
56,결재 요청: INV-51853,ham
57,플래닛테크 서버 점검 안내 (오늘),ham
58,[회계팀] 회의 일정 조율 (이번 주 금요일),ham
59,영수증 누락 안내: 링크에서 다시 다운로드,spam
60,업무 공유: 주간 업무 계획서,ham
61,에코웍스 서버 점검 안내 (다음 주 월요일),ham
62,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
63,오전 이슈 대응 상황 공유,ham
64,결재 요청: INV-39473,ham
65,오전 이슈 대응 상황 공유,ham
66,[리마인드] 교육 세션 참석 안내,ham
67,출장 계획서 검토 요청 (부산),ham
68,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
69,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
70,결제 오류 발생: OD785436 내역 확인 바랍니다,spam
71,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
72,지금 신청하면 90% 즉시 할인! 한정 수량,spam
73,[중요] 개인정보 처리방침 업데이트 안내,ham
74,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
75,[공지] 근로계약서 서명 안내,ham
76,첨부: 1월 매출 보고서 초안,ham
77,[리마인드] 교육 세션 참석 안내,ham
78,휴가 일정 공유 및 인수인계,ham
79,"[긴급] 하나은행 계좌 인증 실패, 서비스 제한 예정",spam
80,회의록 배포: 주간회의,ham
81,[중요] 개인정보 처리방침 업데이트 안내,ham
82,견적서 전달드립니다 (프리미엄 의자),ham
83,휴면 계정 전환 예정: 로그인 확인 요청,spam
84,휴가 일정 공유 및 인수인계,ham
85,지금 신청하면 30% 즉시 할인! 한정 수량,spam
86,[리마인드] 교육 세션 참석 안내,ham
87,[리마인드] 교육 세션 참석 안내,ham
88,결제 오류 발생: OD413814 내역 확인 바랍니다,spam
89,업무 공유: 주간 업무 계획서,ham
90,축하합니다! 경품 당첨 안내 (공기청정기),spam
91,첨부: 2월 매출 보고서 초안,ham
92,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
93,업무 공유: 주간 업무 계획서,ham
94,업무 공유: 주간 업무 계획서,ham
95,인증코드 [364955] 입력 후 혜택 즉시 수령,spam
96,[리마인드] 교육 세션 참석 안내,ham
97,회의 자료 업데이트 공유,ham
98,업무 공유: 주간 업무 계획서,ham
99,오늘만 특가 70%! 휴대용 보조배터리 마지막 찬스,spam
100,[중요] 개인정보 처리방침 업데이트 안내,ham
101,업무 공유: 주간 업무 계획서,ham
102,"[긴급] 농협은행 계좌 인증 실패, 서비스 제한 예정",spam
103,휴가 일정 공유 및 인수인계,ham
104,[리마인드] 교육 세션 참석 안내,ham
105,출장 계획서 검토 요청 (대전),ham
106,회의록 배포: 결산 보고,ham
107,플래닛테크 서버 점검 안내 (내일),ham
108,업무 공유: 주간 업무 계획서,ham
109,결제 오류 발생: OD815707 내역 확인 바랍니다,spam
110,휴가 일정 공유 및 인수인계,ham
111,출장 계획서 검토 요청 (성남),ham
112,오늘만 특가 50%! 프리미엄 의자 마지막 찬스,spam
113,재택근무 신청 관련 공지,ham
114,카드 한도 초과 알림: 본인 확인 요청,spam
115,코발트디자인 서버 점검 안내 (오늘),ham
116,첨부: 2월 매출 보고서 초안,ham
117,첨부: 8월 매출 보고서 초안,ham
118,루미너스랩 서버 점검 안내 (오늘),ham
119,오늘만 특가 40%! 프리미엄 의자 마지막 찬스,spam
120,영수증 누락 안내: 링크에서 다시 다운로드,spam
121,[고객지원팀] 회의 일정 조율 (내일),ham
122,회의록 배포: 요구사항 정리,ham
123,견적서 전달드립니다 (공기청정기),ham
124,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
125,[공지] 근로계약서 서명 안내,ham
126,재택근무 신청 관련 공지,ham
127,[리마인드] 교육 세션 참석 안내,ham
128,회의 자료 업데이트 공유,ham
129,[회계팀] 회의 일정 조율 (모레),ham
130,넥타일 서버 점검 안내 (모레),ham
131,업무 공유: 주간 업무 계획서,ham
132,[회계팀] 회의 일정 조율 (오늘),ham
133,[중요] 개인정보 처리방침 업데이트 안내,ham
134,결재 요청: INV-26691,ham
135,업무 공유: 주간 업무 계획서,ham
136,출장 계획서 검토 요청 (청주),ham
137,오늘만 특가 50%! 스마트워치 마지막 찬스,spam
138,카드 한도 초과 알림: 본인 확인 요청,spam
139,한빛상사 서버 점검 안내 (오늘),ham
140,출장 계획서 검토 요청 (광주),ham
141,회의록 배포: 주간회의,ham
142,플래닛테크 서버 점검 안내 (이번 주 금요일),ham
143,오전 이슈 대응 상황 공유,ham
144,회의 자료 업데이트 공유,ham
145,오전 이슈 대응 상황 공유,ham
146,결재 요청: INV-77698,ham
147,[재무관리팀] 회의 일정 조율 (오늘),ham
148,업무 공유: 주간 업무 계획서,ham
149,재택근무 신청 관련 공지,ham
150,[공지] 근로계약서 서명 안내,ham
151,결재 요청: INV-88647,ham
152,휴가 일정 공유 및 인수인계,ham
153,업무 공유: 주간 업무 계획서,ham
154,재택근무 신청 관련 공지,ham
155,휴가 일정 공유 및 인수인계,ham
156,[마케팅팀] 회의 일정 조율 (모레),ham
157,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
158,휴면 계정 전환 예정: 로그인 확인 요청,spam
159,회의록 배포: 결산 보고,ham
160,[공지] 근로계약서 서명 안내,ham
161,[인사팀] 회의 일정 조율 (오늘),ham
162,지금 신청하면 30% 즉시 할인! 한정 수량,spam
163,재택근무 신청 관련 공지,ham
164,오전 이슈 대응 상황 공유,ham
165,견적서 전달드립니다 (로봇청소기),ham
166,재택근무 신청 관련 공지,ham
167,첨부: 6월 매출 보고서 초안,ham
168,휴가 일정 공유 및 인수인계,ham
169,회의록 배포: 디자인 리뷰,ham
170,지금 신청하면 80% 즉시 할인! 한정 수량,spam
171,[리마인드] 교육 세션 참석 안내,ham
172,결재 요청: INV-99995,ham
173,오전 이슈 대응 상황 공유,ham
174,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
175,견적서 전달드립니다 (로봇청소기),ham
176,회의 자료 업데이트 공유,ham
177,첨부: 4월 매출 보고서 초안,ham
178,카드 한도 초과 알림: 본인 확인 요청,spam
179,[공지] 근로계약서 서명 안내,ham
180,휴가 일정 공유 및 인수인계,ham
181,[리마인드] 교육 세션 참석 안내,ham
182,오전 이슈 대응 상황 공유,ham
183,인증코드 [682032] 입력 후 혜택 즉시 수령,spam
184,카드 한도 초과 알림: 본인 확인 요청,spam
185,휴가 일정 공유 및 인수인계,ham
186,[고객지원팀] 회의 일정 조율 (내일),ham
187,오전 이슈 대응 상황 공유,ham
188,회의 자료 업데이트 공유,ham
189,세림전자 서버 점검 안내 (이번 주 금요일),ham
190,휴가 일정 공유 및 인수인계,ham
191,오늘만 특가 90%! 게이밍 키보드 마지막 찬스,spam
192,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
193,[리마인드] 교육 세션 참석 안내,ham
194,오전 이슈 대응 상황 공유,ham
195,오전 이슈 대응 상황 공유,ham
196,회의 자료 업데이트 공유,ham
197,견적서 전달드립니다 (프리미엄 의자),ham
198,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
199,인증코드 [766764] 입력 후 혜택 즉시 수령,spam
200,[중요] 개인정보 처리방침 업데이트 안내,ham
201,루미너스랩 서버 점검 안내 (모레),ham
202,결제 오류 발생: OD702833 내역 확인 바랍니다,spam
203,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
204,[공지] 근로계약서 서명 안내,ham
205,결재 요청: INV-36577,ham
206,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
207,출장 계획서 검토 요청 (부산),ham
208,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
209,견적서 전달드립니다 (게이밍 키보드),ham
210,재택근무 신청 관련 공지,ham
211,[중요] 개인정보 처리방침 업데이트 안내,ham
212,루미너스랩 서버 점검 안내 (내일),ham
213,견적서 전달드립니다 (스마트워치),ham
214,축하합니다! 경품 당첨 안내 (휴대용 보조배터리),spam
215,견적서 전달드립니다 (휴대용 보조배터리),ham
216,[공지] 근로계약서 서명 안내,ham
217,[중요] 개인정보 처리방침 업데이트 안내,ham
218,회의 자료 업데이트 공유,ham
219,[공지] 근로계약서 서명 안내,ham
220,재택근무 신청 관련 공지,ham
221,카드 한도 초과 알림: 본인 확인 요청,spam
222,결재 요청: INV-46188,ham
223,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
224,영수증 누락 안내: 링크에서 다시 다운로드,spam
225,재택근무 신청 관련 공지,ham
226,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
227,회의 자료 업데이트 공유,ham
228,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
229,회의 자료 업데이트 공유,ham
230,회의록 배포: QA 점검,ham
231,세금 환급 대상자 확인: 정보 입력 필요,spam
232,[공지] 근로계약서 서명 안내,ham
233,[전략기획] 회의 일정 조율 (오늘),ham
234,업무 공유: 주간 업무 계획서,ham
235,출장 계획서 검토 요청 (청주),ham
236,카드 한도 초과 알림: 본인 확인 요청,spam
237,결재 요청: INV-24728,ham
238,결재 요청: INV-43902,ham
239,[재무관리팀] 회의 일정 조율 (오늘),ham
240,세금 환급 대상자 확인: 정보 입력 필요,spam
241,회의록 배포: 결산 보고,ham
242,출장 계획서 검토 요청 (대전),ham
243,세림전자 서버 점검 안내 (내일),ham
244,[리마인드] 교육 세션 참석 안내,ham
245,카드 한도 초과 알림: 본인 확인 요청,spam
246,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
247,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
248,업무 공유: 주간 업무 계획서,ham
249,축하합니다! 경품 당첨 안내 (휴대용 보조배터리),spam
250,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
251,지금 신청하면 40% 즉시 할인! 한정 수량,spam
252,코발트디자인 서버 점검 안내 (다음 주 월요일),ham
253,[공지] 근로계약서 서명 안내,ham
254,회의 자료 업데이트 공유,ham
255,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
256,업무 공유: 주간 업무 계획서,ham
257,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
258,재택근무 신청 관련 공지,ham
259,재택근무 신청 관련 공지,ham
260,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
261,[중요] 개인정보 처리방침 업데이트 안내,ham
262,[회계팀] 회의 일정 조율 (내일),ham
263,[영업1팀] 회의 일정 조율 (오늘),ham
264,재택근무 신청 관련 공지,ham
265,에이프릴데이터 서버 점검 안내 (모레),ham
266,업무 공유: 주간 업무 계획서,ham
267,세금 환급 대상자 확인: 정보 입력 필요,spam
268,[회계팀] 회의 일정 조율 (내일),ham
269,오전 이슈 대응 상황 공유,ham
270,재택근무 신청 관련 공지,ham
271,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
272,세금 환급 대상자 확인: 정보 입력 필요,spam
273,휴면 계정 전환 예정: 로그인 확인 요청,spam
274,[재무관리팀] 회의 일정 조율 (이번 주 금요일),ham
275,결제 오류 발생: OD948188 내역 확인 바랍니다,spam
276,인증코드 [920539] 입력 후 혜택 즉시 수령,spam
277,휴가 일정 공유 및 인수인계,ham
278,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
279,결제 오류 발생: OD869983 내역 확인 바랍니다,spam
280,결재 요청: INV-13106,ham
281,오전 이슈 대응 상황 공유,ham
282,업무 공유: 주간 업무 계획서,ham
283,첨부: 2월 매출 보고서 초안,ham
284,회의록 배포: QA 점검,ham
285,오늘만 특가 70%! 게이밍 키보드 마지막 찬스,spam
286,[마케팅팀] 회의 일정 조율 (오늘),ham
287,축하합니다! 경품 당첨 안내 (블루투스 스피커),spam
288,첨부: 3월 매출 보고서 초안,ham
289,업무 공유: 주간 업무 계획서,ham
290,[중요] 개인정보 처리방침 업데이트 안내,ham
291,회의 자료 업데이트 공유,ham
292,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
293,업무 공유: 주간 업무 계획서,ham
294,[중요] 개인정보 처리방침 업데이트 안내,ham
295,에이프릴데이터 서버 점검 안내 (모레),ham
296,코발트디자인 서버 점검 안내 (내일),ham
297,휴면 계정 전환 예정: 로그인 확인 요청,spam
298,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
299,재택근무 신청 관련 공지,ham
300,견적서 전달드립니다 (게이밍 키보드),ham
301,카드 한도 초과 알림: 본인 확인 요청,spam
302,첨부: 11월 매출 보고서 초안,ham
303,[공지] 근로계약서 서명 안내,ham
304,지금 신청하면 90% 즉시 할인! 한정 수량,spam
305,업무 공유: 주간 업무 계획서,ham
306,출장 계획서 검토 요청 (서울),ham
307,[중요] 개인정보 처리방침 업데이트 안내,ham
308,견적서 전달드립니다 (휴대용 보조배터리),ham
309,[중요] 개인정보 처리방침 업데이트 안내,ham
310,"[긴급] 신한은행 계좌 인증 실패, 서비스 제한 예정",spam
311,하모니시스템 서버 점검 안내 (모레),ham
312,재택근무 신청 관련 공지,ham
313,회의 자료 업데이트 공유,ham
314,회의록 배포: 디자인 리뷰,ham
315,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
316,회의록 배포: 디자인 리뷰,ham
317,오전 이슈 대응 상황 공유,ham
318,재택근무 신청 관련 공지,ham
319,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
320,[중요] 개인정보 처리방침 업데이트 안내,ham
321,출장 계획서 검토 요청 (청주),ham
322,첨부: 2월 매출 보고서 초안,ham
323,한빛상사 서버 점검 안내 (이번 주 금요일),ham
324,카드 한도 초과 알림: 본인 확인 요청,spam
325,[중요] 개인정보 처리방침 업데이트 안내,ham
326,[리마인드] 교육 세션 참석 안내,ham
327,회의 자료 업데이트 공유,ham
328,[리마인드] 교육 세션 참석 안내,ham
329,[인사팀] 회의 일정 조율 (내일),ham
330,오전 이슈 대응 상황 공유,ham
331,결제 오류 발생: OD202472 내역 확인 바랍니다,spam
332,지금 신청하면 50% 즉시 할인! 한정 수량,spam
333,결재 요청: INV-77550,ham
334,회의록 배포: 디자인 리뷰,ham
335,회의 자료 업데이트 공유,ham
336,휴가 일정 공유 및 인수인계,ham
337,회의록 배포: 주간회의,ham
338,출장 계획서 검토 요청 (수원),ham
339,인증코드 [927119] 입력 후 혜택 즉시 수령,spam
340,오전 이슈 대응 상황 공유,ham
341,견적서 전달드립니다 (게이밍 키보드),ham
342,인증코드 [216211] 입력 후 혜택 즉시 수령,spam
343,넥타일 서버 점검 안내 (이번 주 금요일),ham
344,오늘만 특가 40%! 스마트워치 마지막 찬스,spam
345,재택근무 신청 관련 공지,ham
346,넥타일 서버 점검 안내 (이번 주 금요일),ham
347,회의록 배포: QA 점검,ham
348,축하합니다! 경품 당첨 안내 (무선 이어폰),spam
349,휴가 일정 공유 및 인수인계,ham
350,출장 계획서 검토 요청 (부산),ham
351,회의록 배포: 결산 보고,ham
352,출장 계획서 검토 요청 (천안),ham
353,첨부: 3월 매출 보고서 초안,ham
354,오늘만 특가 80%! 스마트워치 마지막 찬스,spam
355,카드 한도 초과 알림: 본인 확인 요청,spam
356,축하합니다! 경품 당첨 안내 (스마트워치),spam
357,[리마인드] 교육 세션 참석 안내,ham
358,플래닛테크 서버 점검 안내 (이번 주 금요일),ham
359,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
360,출장 계획서 검토 요청 (광주),ham
361,회의 자료 업데이트 공유,ham
362,[리마인드] 교육 세션 참석 안내,ham
363,견적서 전달드립니다 (로봇청소기),ham
364,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
365,[중요] 개인정보 처리방침 업데이트 안내,ham
366,오로라소프트 서버 점검 안내 (내일),ham
367,[중요] 개인정보 처리방침 업데이트 안내,ham
368,회의 자료 업데이트 공유,ham
369,휴가 일정 공유 및 인수인계,ham
370,오전 이슈 대응 상황 공유,ham
371,세금 환급 대상자 확인: 정보 입력 필요,spam
372,[공지] 근로계약서 서명 안내,ham
373,세금 환급 대상자 확인: 정보 입력 필요,spam
374,휴가 일정 공유 및 인수인계,ham
375,세금 환급 대상자 확인: 정보 입력 필요,spam
376,하모니시스템 서버 점검 안내 (오늘),ham
377,[중요] 개인정보 처리방침 업데이트 안내,ham
378,결제 오류 발생: OD776498 내역 확인 바랍니다,spam
379,카드 한도 초과 알림: 본인 확인 요청,spam
380,[공지] 근로계약서 서명 안내,ham
381,[공지] 근로계약서 서명 안내,ham
382,지금 신청하면 60% 즉시 할인! 한정 수량,spam
383,세금 환급 대상자 확인: 정보 입력 필요,spam
384,견적서 전달드립니다 (프리미엄 의자),ham
385,휴가 일정 공유 및 인수인계,ham
386,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
387,결재 요청: INV-35101,ham
388,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
389,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
390,회의록 배포: QA 점검,ham
391,결재 요청: INV-92050,ham
392,재택근무 신청 관련 공지,ham
393,영수증 누락 안내: 링크에서 다시 다운로드,spam
394,"[긴급] 신한은행 계좌 인증 실패, 서비스 제한 예정",spam
395,휴면 계정 전환 예정: 로그인 확인 요청,spam
396,업무 공유: 주간 업무 계획서,ham
397,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
398,업무 공유: 주간 업무 계획서,ham
399,결재 요청: INV-44340,ham
400,업무 공유: 주간 업무 계획서,ham
401,휴가 일정 공유 및 인수인계,ham
402,에이프릴데이터 서버 점검 안내 (다음 주 월요일),ham
403,오전 이슈 대응 상황 공유,ham
404,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
405,[중요] 개인정보 처리방침 업데이트 안내,ham
406,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
407,업무 공유: 주간 업무 계획서,ham
408,회의 자료 업데이트 공유,ham
409,회의 자료 업데이트 공유,ham
410,결재 요청: INV-40544,ham
411,출장 계획서 검토 요청 (용인),ham
412,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
413,재택근무 신청 관련 공지,ham
414,인증코드 [898868] 입력 후 혜택 즉시 수령,spam
415,회의 자료 업데이트 공유,ham
416,"신규 서비스 오픈 기념, 3개월 무료 이용권 제공",spam
417,무료 쿠폰 지급 안내 - 수량 소진 전 서두르세요,spam
418,지금 신청하면 50% 즉시 할인! 한정 수량,spam
419,업무 공유: 주간 업무 계획서,ham
420,[공지] 근로계약서 서명 안내,ham
421,업무 공유: 주간 업무 계획서,ham
422,업무 공유: 주간 업무 계획서,ham
423,휴가 일정 공유 및 인수인계,ham
424,첨부: 4월 매출 보고서 초안,ham
425,견적서 전달드립니다 (프리미엄 의자),ham
426,회의록 배포: 요구사항 정리,ham
427,회의록 배포: 디자인 리뷰,ham
428,[공지] 근로계약서 서명 안내,ham
429,오전 이슈 대응 상황 공유,ham
430,[중요] 개인정보 처리방침 업데이트 안내,ham
431,견적서 전달드립니다 (로봇청소기),ham
432,인증코드 [492850] 입력 후 혜택 즉시 수령,spam
433,첨부: 5월 매출 보고서 초안,ham
434,첨부: 1월 매출 보고서 초안,ham
435,회의 자료 업데이트 공유,ham
436,휴가 일정 공유 및 인수인계,ham
437,영수증 누락 안내: 링크에서 다시 다운로드,spam
438,세금 환급 대상자 확인: 정보 입력 필요,spam
439,휴가 일정 공유 및 인수인계,ham
440,택배 배송 보류 안내: 주소 재확인 바랍니다,spam
441,[중요] 개인정보 처리방침 업데이트 안내,ham
442,에코웍스 서버 점검 안내 (다음 주 월요일),ham
443,재택근무 신청 관련 공지,ham
444,견적서 전달드립니다 (블루투스 스피커),ham
445,견적서 전달드립니다 (스마트워치),ham
446,[회계팀] 회의 일정 조율 (내일),ham
447,첨부: 2월 매출 보고서 초안,ham
448,휴가 일정 공유 및 인수인계,ham
449,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
450,휴가 일정 공유 및 인수인계,ham
451,결재 요청: INV-38208,ham
452,회의 자료 업데이트 공유,ham
453,업무 공유: 주간 업무 계획서,ham
454,재택근무 신청 관련 공지,ham
455,회의록 배포: 스프린트 킥오프,ham
456,인증코드 [871146] 입력 후 혜택 즉시 수령,spam
457,결재 요청: INV-50991,ham
458,인증코드 [640028] 입력 후 혜택 즉시 수령,spam
459,휴가 일정 공유 및 인수인계,ham
460,출장 계획서 검토 요청 (용인),ham
461,업무 공유: 주간 업무 계획서,ham
462,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
463,첨부: 1월 매출 보고서 초안,ham
464,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
465,"[긴급] 신한은행 계좌 인증 실패, 서비스 제한 예정",spam
466,[리마인드] 교육 세션 참석 안내,ham
467,세금 환급 대상자 확인: 정보 입력 필요,spam
468,업무 공유: 주간 업무 계획서,ham
469,휴면 계정 전환 예정: 로그인 확인 요청,spam
470,업무 공유: 주간 업무 계획서,ham
471,회의 자료 업데이트 공유,ham
472,세금 환급 대상자 확인: 정보 입력 필요,spam
473,회의록 배포: 디자인 리뷰,ham
474,휴가 일정 공유 및 인수인계,ham
475,휴면 계정 전환 예정: 로그인 확인 요청,spam
476,출장 계획서 검토 요청 (성남),ham
477,회의 자료 업데이트 공유,ham
478,결재 요청: INV-11769,ham
479,결재 요청: INV-92245,ham
480,회의 자료 업데이트 공유,ham
481,영수증 누락 안내: 링크에서 다시 다운로드,spam
482,보안점검 안내: 본인 인증 미완료 시 계정 제한,spam
483,회의 자료 업데이트 공유,ham
484,견적서 전달드립니다 (블루투스 스피커),ham
485,재택근무 신청 관련 공지,ham
486,오늘만 특가 40%! 스마트워치 마지막 찬스,spam
487,오전 이슈 대응 상황 공유,ham
488,[공지] 근로계약서 서명 안내,ham
489,플래닛테크 서버 점검 안내 (모레),ham
490,[중요] 개인정보 처리방침 업데이트 안내,ham
491,[중요] 개인정보 처리방침 업데이트 안내,ham
492,[공지] 근로계약서 서명 안내,ham
493,오늘만 특가 50%! 게이밍 키보드 마지막 찬스,spam
494,출장 계획서 검토 요청 (천안),ham
495,결제 오류 발생: OD400548 내역 확인 바랍니다,spam
496,[영업1팀] 회의 일정 조율 (오늘),ham
497,넥타일 서버 점검 안내 (이번 주 금요일),ham
498,휴가 일정 공유 및 인수인계,ham
499,[중요] 계정 보안 경고: 즉시 비밀번호 변경 필요,spam
500,출장 계획서 검토 요청 (청주),ham
501,출장 계획서 검토 요청 (서울),ham
502,[리마인드] 교육 세션 참석 안내,ham
503,업무 공유: 주간 업무 계획서,ham
504,축하합니다! 경품 당첨 안내 (스마트워치),spam
505,첨부: 2월 매출 보고서 초안,ham
